h3_index,poi_reach_cbd_weighted
888c100005fffff,
888c100011fffff,
888c10001dfffff,
888c100029fffff,
888c10002dfffff,
888c100057fffff,
888c100063fffff,
888c100087fffff,
888c10008bfffff,
888c1000b5fffff,
888c1000c1fffff,
888c1000cdfffff,
888c1000d9fffff,
888c1000e9fffff,
888c100113fffff,
888c10012bfffff,
888c100137fffff,
888c100147fffff,
888c100189fffff,
888c100195fffff,
888c1001a5fffff,
888c1001dbfffff,
888c1001e7fffff,
888c100203fffff,
888c10022dfffff,
888c100245fffff,
888c100251fffff,
888c10028bfffff,
888c100297fffff,
888c1002a3fffff,
888c1002b3fffff,
888c1002ddfffff,
888c1002e9fffff,
888c100301fffff,
888c10030dfffff,
888c100311fffff,
888c10033bfffff,
888c100347fffff,
888c100353fffff,
888c10036bfffff,
888c100403fffff,
888c10041bfffff,
888c10042bfffff,
888c100455fffff,
888c100461fffff,
888c10046dfffff,
888c100489fffff,
888c1004b3fffff,
888c1004cbfffff,
888c1004d7fffff,
888c1004e7fffff,
888c100511fffff,
888c10051dfffff,
888c100529fffff,
888c100535fffff,
888c100587fffff,
888c100593fffff,
888c1005cdfffff,
888c1005d9fffff,
888c1005e5fffff,
888c10062bfffff,
888c100637fffff,
888c100689fffff,
888c100695fffff,
888c1006a1fffff,
888c1006adfffff,
888c1006b1fffff,
888c1006e7fffff,
888c10070bfffff,
888c100739fffff,
888c100745fffff,
888c100751fffff,
888c10075dfffff,
888c10076dfffff,
888c100801fffff,
888c10080dfffff,
888c100819fffff,
888c100829fffff,
888c100853fffff,
888c10086bfffff,
888c1008b1fffff,
888c1008bdfffff,
888c1008d5fffff,
888c100903fffff,
888c10091bfffff,
888c100927fffff,
888c100933fffff,
888c100937fffff,
888c100961fffff,
888c10096dfffff,
888c100985fffff,
888c100991fffff,
888c100995fffff,
888c1009cbfffff,
888c1009d7fffff,
888c1009e3fffff,
888c100a1dfffff,
888c100a29fffff,
888c100a35fffff,
888c100a41fffff,
888c100a4dfffff,
888c100a51fffff,
888c100a87fffff,
888c100a93fffff,
888c100ad9fffff,
888c100ae5fffff,
888c100b0dfffff,
888c100b37fffff,
888c100b43fffff,
888c100b5bfffff,
888c100b6bfffff,
888c100c0bfffff,
888c100c17fffff,
888c100c1bfffff,
888c100c45fffff,
888c100c51fffff,
888c100c5dfffff,
888c100c69fffff,
888c100ca3fffff,
888c100cbbfffff,
888c100cc7fffff,
888c100cd3fffff,
888c100cd7fffff,
888c100d01fffff,
888c100d0dfffff,
888c100d19fffff,
