h3_index,poi_reach_cbd_weighted
888c100009fffff,
888c100015fffff,
888c100037fffff,
888c100043fffff,
888c10005bfffff,
888c100067fffff,
888c100095fffff,
888c1000a1fffff,
888c1000adfffff,
888c1000b9fffff,
888c1000c5fffff,
888c10010bfffff,
888c100117fffff,
888c100123fffff,
888c100151fffff,
888c10015dfffff,
888c100169fffff,
888c100181fffff,
888c1001bbfffff,
888c1001c7fffff,
888c1001d3fffff,
888c10020dfffff,
888c100219fffff,
888c100225fffff,
888c100231fffff,
888c10023dfffff,
888c10026bfffff,
888c100283fffff,
888c10029bfffff,
888c1002c9fffff,
888c1002d5fffff,
888c1002e1fffff,
888c1002edfffff,
888c100327fffff,
888c100333fffff,
888c10034bfffff,
888c100357fffff,
888c100407fffff,
888c100435fffff,
888c100441fffff,
888c10044dfffff,
888c100459fffff,
888c100465fffff,
888c100493fffff,
888c1004abfffff,
888c1004b7fffff,
888c1004c3fffff,
888c100509fffff,
888c100515fffff,
888c100521fffff,
888c10055bfffff,
888c100567fffff,
888c1005adfffff,
888c1005b9fffff,
888c1005c5fffff,
888c1005d1fffff,
888c1005ddfffff,
888c100623fffff,
888c100669fffff,
888c100681fffff,
888c10068dfffff,
888c1006bbfffff,
888c1006ebfffff,
888c100719fffff,
888c100725fffff,
888c100731fffff,
888c10073dfffff,
888c100749fffff,
888c100805fffff,
888c100833fffff,
888c10084bfffff,
888c100857fffff,
888c100863fffff,
888c100891fffff,
888c10089dfffff,
888c1008a9fffff,
888c1008b5fffff,
888c1008c1fffff,
888c100907fffff,
888c100913fffff,
888c10094dfffff,
888c100959fffff,
888c100965fffff,
888c1009abfffff,
888c1009b7fffff,
888c1009c3fffff,
888c1009dbfffff,
888c100a09fffff,
888c100a15fffff,
888c100a21fffff,
888c100a2dfffff,
888c100a5bfffff,
888c100a67fffff,
888c100a8bfffff,
888c100ab9fffff,
888c100ac5fffff,
888c100ad1fffff,
888c100addfffff,
888c100ae9fffff,
888c100b17fffff,
888c100b23fffff,
888c100b3bfffff,
888c100b47fffff,
888c100c03fffff,
888c100c31fffff,
888c100c3dfffff,113.0
888c100c49fffff,
888c100c55fffff,
888c100c61fffff,
888c100c9bfffff,
888c100ca7fffff,
888c100cb3fffff,
888c100ce1fffff,
888c100cedfffff,
888c100d05fffff,
888c100d11fffff,
888c100d1dfffff,
888c100d4bfffff,
888c100d57fffff,
888c100d63fffff,
888c100d9dfffff,
888c100da9fffff,
888c100db5fffff,
888c100dc1fffff,
888c100dcdfffff,
888c100e07fffff,
888c100e13fffff,
888c100e2bfffff,
888c100e59fffff,
888c100e65fffff,
888c100e89fffff,
888c100eb7fffff,
888c100ec3fffff,
888c100edbfffff,
888c100ee7fffff,
888c100f15fffff,
888c100f21fffff,
888c100f2dfffff,
888c100f39fffff,
888c100f45fffff,
888c101023fffff,
888c10103bfffff,
888c101053fffff,
888c101081fffff,
888c10108dfffff,
888c101099fffff,
888c1010a5fffff,
888c1010b1fffff,
888c1010ebfffff,
888c10119bfffff,
888c1011a7fffff,
888c1011b3fffff,
888c1011cbfffff,
888c101421fffff,
888c10142dfffff,
888c101501fffff,
888c10150dfffff,
888c10153bfffff,
888c101547fffff,
888c101553fffff,
888c10156bfffff,
888c101599fffff,
888c1015a5fffff,
888c1015b1fffff,
888c1015bdfffff,
888c1015c9fffff,
888c101705fffff,
888c101729fffff,
888c101735fffff,
888c101763fffff,
888c10182bfffff,
888c101837fffff,
888c101843fffff,
888c101889fffff,
888c101895fffff,
888c1018a1fffff,
888c1018adfffff,
888c1018dbfffff,
888c1018e7fffff,
888c10190bfffff,
888c101939fffff,
888c101945fffff,
888c101951fffff,
888c10195dfffff,
888c101969fffff,
888c10198bfffff,
888c101997fffff,
888c1019a3fffff,
888c1019bbfffff,
888c1019c7fffff,
888c1019e9fffff,
888c101a01fffff,
888c101a0dfffff,
888c101a19fffff,
888c101a47fffff,
888c101a6bfffff,
888c101aa5fffff,
888c101ab1fffff,
888c101abdfffff,
888c101ac9fffff,
888c101ad5fffff,
888c101b03fffff,
888c101b1bfffff,
888c101b27fffff,
888c101b33fffff,
888c101b61fffff,
888c101b6dfffff,
888c10201bfffff,
888c102027fffff,
888c102033fffff,
888c10206dfffff,
888c102129fffff,
888c102135fffff,
888c102141fffff,
888c10214dfffff,
888c102159fffff,
888c102187fffff,
888c1021abfffff,
888c1021b7fffff,
888c1021e5fffff,
888c102209fffff,
888c102215fffff,
888c102243fffff,
888c10225bfffff,
888c102267fffff,
888c1022a1fffff,
888c1022adfffff,
888c1022c5fffff,
888c10230bfffff,
888c102317fffff,
888c102323fffff,
888c102351fffff,
888c10235dfffff,
888c102369fffff,
888c10280bfffff,
888c102817fffff,
888c102823fffff,
888c10283bfffff,
888c102869fffff,
888c102881fffff,
888c10288dfffff,
888c102899fffff,
888c1028c7fffff,
888c1028d3fffff,
888c1028ebfffff,
888c102919fffff,
888c102925fffff,
888c102931fffff,
888c10293dfffff,
888c102949fffff,
888c102955fffff,
888c102983fffff,
888c10299bfffff,
888c1029a7fffff,
888c1029d5fffff,
888c1029e1fffff,
888c1029edfffff,
888c102a05fffff,
888c102a33fffff,
888c102a4bfffff,
888c102a57fffff,
888c102a63fffff,
888c102a91fffff,
888c102a9dfffff,
888c102aa9fffff,
888c102ab5fffff,
888c102ac1fffff,
888c102b07fffff,
888c102b13fffff,
888c102b4dfffff,
888c102b59fffff,
888c102b65fffff,
888c102f05fffff,
888c102f1dfffff,
888c102f4bfffff,
888c102f57fffff,
888c102f63fffff,
888c103007fffff,
888c103013fffff,
888c10302bfffff,
888c103065fffff,
888c103089fffff,
888c1030b7fffff,
888c1030c3fffff,
888c1030dbfffff,
888c1030e7fffff,
888c103115fffff,
888c103121fffff,
888c103139fffff,
888c103145fffff,
888c10318bfffff,
888c103197fffff,
888c1031a3fffff,
888c1031d1fffff,
888c1031ddfffff,
888c1031e9fffff,
888c1032a5fffff,
888c1032b1fffff,
888c103303fffff,
888c10333dfffff,
888c103349fffff,
888c103355fffff,
888c103361fffff,
888c10336dfffff,
888c10352bfffff,
888c103537fffff,
888c103543fffff,
888c103803fffff,
888c10381bfffff,
888c103827fffff,
888c103855fffff,
888c103861fffff,
888c10386dfffff,
888c103885fffff,
888c1038b3fffff,
888c1038cbfffff,
888c1038d7fffff,
888c1038e3fffff,
888c103905fffff,
888c103911fffff,
888c10391dfffff,
888c103929fffff,
888c103935fffff,
888c103941fffff,
888c103963fffff,
888c103987fffff,
888c103993fffff,
888c1039c1fffff,
888c1039cdfffff,
888c1039d9fffff,
888c1039e5fffff,
888c103a2bfffff,
888c103a37fffff,
888c103a43fffff,
888c103a89fffff,
888c103a95fffff,
888c103aa1fffff,
888c103aadfffff,
888c103adbfffff,
888c103ae7fffff,
888c103b0bfffff,
888c103b39fffff,
888c103b45fffff,
888c103b51fffff,
888c103b5dfffff,
888c10400bfffff,
888c104017fffff,
888c104045fffff,
888c104051fffff,
888c10405dfffff,
888c104069fffff,
888c1040a3fffff,51.0
888c1040bbfffff,109.0
888c1040c7fffff,
888c1040d3fffff,
888c104101fffff,106.0
888c10410dfffff,
888c104119fffff,76.0
888c104125fffff,
888c104131fffff,116.0
888c10416bfffff,
888c104183fffff,
888c1041bdfffff,
888c1041c9fffff,109.0
888c1041d5fffff,116.0
888c1041e1fffff,
888c1041edfffff,110.0
888c10421bfffff,
888c104227fffff,
888c104233fffff,
888c10424bfffff,
888c10426dfffff,
888c104285fffff,
888c104291fffff,
888c10429dfffff,
888c1042a9fffff,
888c1042cbfffff,
888c1042d7fffff,
888c1042e3fffff,
888c104329fffff,
888c104335fffff,
888c104341fffff,
888c10434dfffff,
888c104359fffff,
888c104409fffff,
888c104415fffff,
888c104443fffff,
888c10445bfffff,
888c104467fffff,
888c1044a1fffff,
888c1044adfffff,
888c1044b9fffff,
