h3_index,poi_reach_cbd_weighted
888c100003fffff,
888c10001bfffff,
888c100045fffff,
888c100055fffff,
888c100061fffff,
888c10006dfffff,
888c1000a3fffff,
888c1000a7fffff,
888c1000b3fffff,
888c1000cbfffff,
888c1000d7fffff,
888c100105fffff,
888c100111fffff,
888c10011dfffff,
888c100129fffff,
888c100135fffff,
888c100163fffff,
888c100187fffff,
888c100193fffff,
888c1001b1fffff,
888c1001c1fffff,
888c1001cdfffff,
888c1001d9fffff,
888c1001e5fffff,
888c10022bfffff,
888c100237fffff,
888c100243fffff,
888c10026dfffff,
888c100289fffff,
888c100295fffff,
888c1002a1fffff,
888c1002cbfffff,
888c1002dbfffff,
888c1002e7fffff,
888c100329fffff,
888c100339fffff,
888c100345fffff,
888c100351fffff,
888c10035dfffff,
888c100401fffff,
888c10040dfffff,
888c100419fffff,
888c100447fffff,
888c100453fffff,
888c10046bfffff,
888c1004a5fffff,
888c1004b1fffff,
888c1004bdfffff,
888c1004c9fffff,
888c1004d5fffff,
888c100503fffff,
888c10051bfffff,
888c100527fffff,
888c100551fffff,
888c100561fffff,
888c10056dfffff,
888c100585fffff,
888c1005cbfffff,
888c1005d7fffff,
888c1005e3fffff,
888c10060dfffff,
888c100629fffff,
888c100635fffff,
888c100641fffff,
888c10066bfffff,
888c100687fffff,
888c100693fffff,
888c1006e5fffff,
888c10072bfffff,
888c100737fffff,
888c100743fffff,
888c10075bfffff,
888c10080bfffff,
888c100835fffff,
888c100845fffff,
888c100851fffff,
888c10085dfffff,
888c100869fffff,
888c100893fffff,
888c1008a3fffff,
888c1008bbfffff,
888c1008c7fffff,
888c100901fffff,
888c10090dfffff,
888c100919fffff,
888c100925fffff,
888c10096bfffff,
888c100983fffff,
888c1009adfffff,
888c1009bdfffff,
888c1009c9fffff,
888c1009d5fffff,
888c1009e1fffff,
888c100a0bfffff,
888c100a1bfffff,
888c100a27fffff,
888c100a33fffff,
888c100a6dfffff,
888c100a85fffff,
888c100a91fffff,
888c100a9dfffff,
888c100acbfffff,
888c100ad7fffff,
888c100ae3fffff,
