h3_index,poi_reach_cbd_weighted
888c10392dfffff,
888c103939fffff,
888c10398bfffff,
888c103997fffff,
888c1039d1fffff,
888c1039dbfffff,
888c1039ddfffff,
888c1039e9fffff,
888c103a23fffff,
888c103a39fffff,
888c103a3bfffff,
888c103a47fffff,
888c103a53fffff,
888c103a81fffff,
888c103a8dfffff,
888c103a97fffff,
888c103a99fffff,
888c103aa5fffff,
888c103ab1fffff,
888c103aebfffff,
888c103b03fffff,
888c103b3dfffff,
888c103b49fffff,
888c103b53fffff,
888c103b55fffff,
888c103b61fffff,
888c104001fffff,
888c104003fffff,
888c10401bfffff,
888c104049fffff,
888c104055fffff,
888c104061fffff,
888c10406dfffff,
888c1040a7fffff,70.0
888c1040b3fffff,113.0
888c1040bdfffff,71.0
888c1040cbfffff,
888c1040d7fffff,
888c104105fffff,119.0
888c104111fffff,66.0
888c10411bfffff,82.0
888c10411dfffff,67.0
888c104129fffff,
888c104135fffff,
888c104163fffff,
888c104187fffff,
888c1041c1fffff,
888c1041cdfffff,106.0
888c1041d9fffff,90.0
888c1041e5fffff,
888c10422bfffff,
888c104237fffff,
888c104243fffff,
888c104287fffff,
888c104289fffff,
888c104295fffff,
888c1042a1fffff,
888c1042dbfffff,
888c1042e5fffff,
888c1042e7fffff,
888c104339fffff,
888c104343fffff,
888c104345fffff,
888c104351fffff,
888c10435dfffff,
888c104401fffff,
888c10440dfffff,
888c104419fffff,
888c104447fffff,
888c104453fffff,
888c10445dfffff,
888c10446bfffff,
888c1044a5fffff,
888c1044b1fffff,
888c1044bbfffff,
888c1044bdfffff,
888c1044c9fffff,
888c104503fffff,
888c10451bfffff,
888c104527fffff,95.0
888c104561fffff,
888c10456dfffff,
888c104585fffff,
888c1045c9fffff,
888c1045cbfffff,
888c1045d7fffff,
888c1045e3fffff,
888c10461dfffff,
888c104627fffff,
888c104629fffff,
888c104635fffff,
888c104641fffff,
888c104685fffff,
888c104687fffff,
888c104693fffff,
888c1046cdfffff,
888c1046d9fffff,
888c1046e3fffff,
888c1046e5fffff,
888c10472bfffff,
888c104737fffff,
888c104741fffff,
888c104743fffff,
888c10475bfffff,
888c10480bfffff,
888c104845fffff,
888c104851fffff,
888c10485dfffff,
888c104869fffff,
888c1048a3fffff,
888c1048adfffff,
888c1048bbfffff,
888c1048c7fffff,
888c104901fffff,
888c10490bfffff,
888c104919fffff,
888c104983fffff,
888c1049b1fffff,
888c1049bdfffff,
888c1049c7fffff,
888c1049c9fffff,
888c1049d5fffff,
888c1049e1fffff,
888c104a1bfffff,
888c104a25fffff,
888c104a27fffff,
888c104a33fffff,
888c104a6dfffff,
888c104a83fffff,
888c104a85fffff,
888c104a91fffff,
888c104a9dfffff,
888c104acbfffff,
888c104ad7fffff,
888c104ae1fffff,
888c104ae3fffff,
888c104b29fffff,
888c104b35fffff,
888c104b41fffff,
888c104b4dfffff,
888c104c09fffff,90.0
888c104c43fffff,83.0
888c104c4dfffff,112.0
888c104c5bfffff,44.0
888c104c67fffff,
888c104ca1fffff,
888c104cabfffff,
888c104cadfffff,
888c104cb9fffff,
888c104cc5fffff,87.0
888c104d09fffff,
888c104d0bfffff,
888c104d17fffff,
888c104d23fffff,
888c104d51fffff,
888c104d5dfffff,
888c104d67fffff,
888c104d69fffff,
888c104d81fffff,
888c104dbbfffff,
888c104dc5fffff,
888c104dc7fffff,
888c104dd3fffff,
888c104e0dfffff,96.0
888c104e19fffff,70.0
888c104e23fffff,
888c104e25fffff,
888c104e31fffff,92.0
888c104e6bfffff,110.0
888c104e83fffff,68.0
888c104ec9fffff,89.0
888c104ed5fffff,82.0
888c104ee1fffff,43.0
888c104eedfffff,61.0
888c104f27fffff,
888c104f31fffff,
888c104f33fffff,
888c104f4bfffff,
888c105093fffff,
888c1050a9fffff,
888c1050abfffff,
888c1050b7fffff,
888c1050c3fffff,
888c1051b9fffff,
888c1051d1fffff,
888c105281fffff,
888c1052c7fffff,
888c105405fffff,
888c105433fffff,
888c105449fffff,
888c10544bfffff,
888c105457fffff,
888c105491fffff,
888c10549dfffff,
888c1054a9fffff,
888c1054b5fffff,
888c105507fffff,
888c105513fffff,
888c10554dfffff,
888c105557fffff,
888c105559fffff,
888c105565fffff,
888c1055abfffff,
888c1055b5fffff,
888c1055b7fffff,
888c1055c3fffff,
888c105609fffff,
888c105613fffff,
888c105615fffff,
888c105621fffff,
888c10562dfffff,
888c10565bfffff,
888c105667fffff,
888c10568bfffff,
888c1056b9fffff,
888c1056c5fffff,
888c1056d1fffff,
888c1056ddfffff,
888c1056e9fffff,
888c105717fffff,
888c105723fffff,
888c10572dfffff,
888c10573bfffff,
888c105747fffff,
888c105831fffff,
888c105899fffff,
888c10589bfffff,
888c1058a7fffff,
888c1058b3fffff,
888c1058edfffff,
888c10599dfffff,
888c1059a9fffff,
888c1059b3fffff,
888c1059b5fffff,
888c1059c1fffff,
888c105ab7fffff,
888c106021fffff,
888c10602dfffff,
888c106037fffff,
888c106039fffff,
888c106045fffff,
888c106051fffff,
888c10608bfffff,69.0
888c106095fffff,83.5
888c106097fffff,87.0
888c1060a3fffff,100.5
888c1060ddfffff,60.0
888c1060e9fffff,108.0
888c106101fffff,
888c10613bfffff,
888c106147fffff,100.41176470588235
888c106153fffff,
888c106199fffff,116.0
888c1061a5fffff,
888c1061b1fffff,
888c1061bdfffff,
888c106201fffff,
888c106203fffff,
888c10621bfffff,
888c106255fffff,
888c106261fffff,111.41176470588235
888c10626dfffff,103.41176470588235
888c1062b3fffff,18.0
888c1062bdfffff,57.0
888c1062cbfffff,
888c1062d7fffff,91.0
