h3_index,poi_reach_cbd_weighted
888c100007fffff,
888c100013fffff,
888c10002bfffff,
888c100065fffff,
888c100089fffff,
888c1000c3fffff,
888c1000d1fffff,
888c1000dbfffff,
888c1000e7fffff,
888c100121fffff,
888c10012dfffff,
888c100139fffff,
888c100145fffff,
888c10018bfffff,
888c10018dfffff,
888c100197fffff,
888c1001a3fffff,
888c1001ddfffff,
888c1001e9fffff,
888c1001ebfffff,
888c100201fffff,
888c10023bfffff,
888c100247fffff,
888c100249fffff,
888c100253fffff,
888c10028dfffff,
888c100299fffff,
888c1002a5fffff,
888c1002a7fffff,
888c1002b1fffff,
888c1002bdfffff,
888c1002ebfffff,
888c100303fffff,
888c100305fffff,
888c10031bfffff,
888c100349fffff,
888c100355fffff,
888c100361fffff,
888c10036dfffff,
888c100405fffff,
888c100411fffff,
888c100413fffff,
888c10041dfffff,
888c100429fffff,
888c100463fffff,
888c100487fffff,
888c1004c1fffff,
888c1004cdfffff,
888c1004d9fffff,
888c1004e5fffff,
888c10052bfffff,
888c10052dfffff,
888c100537fffff,
888c100543fffff,
888c100589fffff,
888c10058bfffff,
888c100595fffff,
888c1005a1fffff,
888c1005dbfffff,
888c1005e7fffff,
888c1005e9fffff,
888c10062dfffff,
888c100645fffff,
888c100647fffff,
888c10068bfffff,
888c100697fffff,
888c1006a3fffff,
888c100701fffff,
888c10070dfffff,
888c100747fffff,
888c100753fffff,
888c100755fffff,
888c10076bfffff,
888c100803fffff,
888c100811fffff,
888c10081bfffff,
888c100827fffff,
888c100861fffff,
888c10086dfffff,
888c100885fffff,
888c1008b3fffff,
888c1008cbfffff,
888c1008cdfffff,
888c1008d7fffff,
888c1008e3fffff,
888c100911fffff,
888c10091dfffff,
888c100929fffff,
888c10092bfffff,
888c100935fffff,
888c100941fffff,
888c100987fffff,
888c100993fffff,
888c1009cdfffff,
888c1009d9fffff,
888c1009e5fffff,
888c100a2bfffff,
888c100a37fffff,
888c100a39fffff,
888c100a43fffff,
888c100a89fffff,
888c100a95fffff,
888c100a97fffff,
888c100aa1fffff,
888c100aadfffff,
888c100ae7fffff,
888c100b0bfffff,
888c100b45fffff,
888c100b51fffff,
888c100b53fffff,
888c100b5dfffff,
888c100b69fffff,
888c100c01fffff,
888c100c0dfffff,
888c100c19fffff,
888c100c25fffff,
888c100c53fffff,
888c100c6bfffff,
888c100c6dfffff,
888c100cb1fffff,
888c100cbdfffff,
888c100cc9fffff,
888c100cd5fffff,
888c100d1bfffff,
888c100d27fffff,
888c100d33fffff,
888c100d6dfffff,
888c100d85fffff,
888c100d91fffff,
888c100dcbfffff,
888c100dd7fffff,
888c100dd9fffff,
888c100de3fffff,
888c100e29fffff,
888c100e35fffff,
888c100e37fffff,
888c100e41fffff,
888c100e4dfffff,
888c100e87fffff,
888c100e93fffff,
888c100e95fffff,
888c100eabfffff,
888c100ed9fffff,
888c100ee5fffff,
888c100f09fffff,
888c100f37fffff,
888c100f43fffff,
888c100f51fffff,
888c100f5bfffff,
888c100f67fffff,
888c101017fffff,
888c1010bbfffff,
888c1010bdfffff,
888c1010c7fffff,
888c1010d3fffff,
888c101183fffff,
888c1011c9fffff,
888c1011d5fffff,
