h3_index,poi_reach_cbd_weighted
888c100019fffff,
888c100025fffff,
888c100031fffff,
888c10003dfffff,
888c100049fffff,
888c100083fffff,
888c10009bfffff,
888c1000d5fffff,
888c1000e1fffff,
888c1000edfffff,
888c100101fffff,
888c100133fffff,
888c10014bfffff,
888c100157fffff,
888c100191fffff,
888c10019dfffff,
888c1001a9fffff,
888c1001b5fffff,
888c1001bdfffff,
888c100207fffff,
888c100213fffff,
888c10021bfffff,
888c10024dfffff,
888c100259fffff,
888c100265fffff,
888c1002abfffff,
888c1002b7fffff,
888c1002c3fffff,
888c1002d7fffff,
888c100309fffff,
888c100315fffff,
888c100321fffff,
888c10032dfffff,
888c100335fffff,
888c10035bfffff,
888c100367fffff,
888c100417fffff,
888c100423fffff,
888c10043bfffff,
888c100443fffff,
888c100481fffff,
888c10048dfffff,
888c100499fffff,
888c1004a1fffff,
888c1004d3fffff,
888c1004ebfffff,
888c100531fffff,
888c10053dfffff,
888c100549fffff,
888c100555fffff,
888c10055dfffff,
888c10059bfffff,
888c1005a7fffff,
888c1005b3fffff,
888c1005bbfffff,
888c1005e1fffff,
888c1005edfffff,
888c100605fffff,
888c100663fffff,
888c10069dfffff,
888c1006a9fffff,
888c1006b5fffff,
888c100707fffff,
888c100713fffff,
888c100727fffff,
888c100759fffff,
888c100765fffff,
888c100815fffff,
888c100821fffff,
888c10082dfffff,
888c100839fffff,
888c100841fffff,
888c10088bfffff,
888c100897fffff,
888c1008c5fffff,
888c1008d1fffff,
888c1008ddfffff,
888c1008e9fffff,
888c100923fffff,
888c10093bfffff,
888c100947fffff,
888c100953fffff,
888c10095bfffff,
888c100981fffff,
888c10098dfffff,
888c100999fffff,
888c1009a5fffff,
888c1009b1fffff,
888c1009ebfffff,
888c100a03fffff,
888c100a3dfffff,
888c100a49fffff,
888c100a55fffff,
888c100a61fffff,
888c100a69fffff,
888c100a9bfffff,
888c100aa7fffff,
888c100ab3fffff,
888c100ac7fffff,
888c100b05fffff,
888c100b11fffff,
888c100b1dfffff,
888c100b25fffff,
888c100b57fffff,
888c100b63fffff,
888c100c07fffff,
888c100c13fffff,
888c100c2bfffff,
888c100c37fffff,
888c100c65fffff,
888c100c89fffff,
888c100c95fffff,
888c100c9dfffff,
888c100cc3fffff,
888c100cdbfffff,
888c100ce7fffff,
888c100d21fffff,
888c100d2dfffff,
888c100d39fffff,
888c100d45fffff,
888c100d8bfffff,
888c100d97fffff,
888c100da3fffff,
888c100dabfffff,
888c100dddfffff,
888c100e01fffff,
888c100e09fffff,
888c100e3bfffff,
888c100e47fffff,
888c100e53fffff,
888c100e67fffff,
888c100e99fffff,
888c100eb1fffff,
888c100ebdfffff,
888c100ec5fffff,
888c100f03fffff,
888c100f1bfffff,
888c100f23fffff,
888c100f49fffff,
888c100f55fffff,
888c100f61fffff,
888c100f6dfffff,
888c101005fffff,
888c101011fffff,
888c101087fffff,
888c1010c1fffff,
888c1010cdfffff,
888c1010d9fffff,
888c1010e5fffff,
888c1010edfffff,
888c101189fffff,
888c101195fffff,
888c1011a1fffff,
888c1011a9fffff,
888c1011dbfffff,
888c1011e7fffff,
888c101427fffff,
888c10146dfffff,
888c10151dfffff,
888c101529fffff,
888c101535fffff,
888c101541fffff,
888c101549fffff,
888c101587fffff,
888c101593fffff,
888c1015a7fffff,
888c1015cdfffff,
888c1015d9fffff,
888c1015e5fffff,
888c101801fffff,
888c10180dfffff,
888c101819fffff,
888c101825fffff,
888c10182dfffff,
888c10186bfffff,
888c101883fffff,
888c10188bfffff,
888c1018b1fffff,
888c1018bdfffff,
888c1018c9fffff,
888c1018d5fffff,
888c1018e1fffff,
888c1018e9fffff,
888c10191bfffff,
888c101927fffff,
888c101933fffff,
888c101947fffff,
888c10196dfffff,
888c101985fffff,
888c101991fffff,
888c10199dfffff,
