kelurahan_id,poi_reach_cbd_weighted
IDN.9.5.33.8_1,
IDN.9.5.33.9_1,
IDN.9.5.34.10_1,
IDN.9.5.34.1_1,
IDN.9.5.34.2_1,
IDN.9.5.34.3_1,
IDN.9.5.34.4_1,
IDN.9.5.34.5_1,
IDN.9.5.34.6_1,
IDN.9.5.34.7_1,
IDN.9.5.34.8_1,
IDN.9.5.34.9_1,
IDN.9.5.35.10_1,
IDN.9.5.35.11_1,
IDN.9.5.35.12_1,
IDN.9.5.35.13_1,
IDN.9.5.35.1_1,
IDN.9.5.35.2_1,
IDN.9.5.35.3_1,
IDN.9.5.35.4_1,
IDN.9.5.35.5_1,
IDN.9.5.35.6_1,
IDN.9.5.35.7_1,
IDN.9.5.35.8_1,
IDN.9.5.35.9_1,
IDN.9.5.36.1_1,
IDN.9.5.36.2_1,
IDN.9.5.36.3_1,
IDN.9.5.36.4_1,
IDN.9.5.36.5_1,116.0
IDN.9.5.36.6_1,
IDN.9.5.36.7_1,
IDN.9.5.37.1_1,
IDN.9.5.37.2_1,
IDN.9.5.37.3_1,
IDN.9.5.37.4_1,
IDN.9.5.37.5_1,
IDN.9.5.37.6_1,
IDN.9.5.37.7_1,
IDN.9.5.37.8_1,
IDN.9.5.38.10_1,
IDN.9.5.38.1_1,
IDN.9.5.38.2_1,
IDN.9.5.38.3_1,
IDN.9.5.38.4_1,
IDN.9.5.38.5_1,
IDN.9.5.38.6_1,
IDN.9.5.38.7_1,
IDN.9.5.38.8_1,
IDN.9.5.38.9_1,
