kelurahan_id,poi_reach_cbd_weighted
IDN.4.3.13.5_1,
IDN.4.3.13.6_1,
IDN.4.3.13.7_1,
IDN.4.3.13.8_1,
IDN.4.8.1.1_1,
IDN.4.8.1.2_1,
IDN.4.8.1.3_1,
IDN.4.8.1.4_1,
IDN.4.8.1.5_1,
IDN.4.8.1.6_1,
IDN.4.8.1.7_1,
IDN.4.8.1.8_1,
IDN.4.8.1.9_1,
IDN.4.8.2.10_1,
IDN.4.8.2.11_1,
IDN.4.8.2.12_1,
IDN.4.8.2.13_1,
IDN.4.8.2.14_1,
IDN.4.8.2.1_1,
IDN.4.8.2.2_1,
IDN.4.8.2.3_1,
IDN.4.8.2.4_1,
IDN.4.8.2.5_1,
IDN.4.8.2.6_1,
IDN.4.8.2.7_1,
IDN.4.8.2.8_1,
IDN.4.8.2.9_1,
IDN.4.8.3.1_1,84.0
IDN.4.8.3.2_1,111.0
IDN.4.8.3.3_1,
IDN.4.8.3.4_1,
IDN.4.8.3.5_1,32.0
IDN.4.8.3.6_1,
IDN.4.8.4.10_1,
IDN.4.8.4.1_1,
IDN.4.8.4.2_1,
IDN.4.8.4.3_1,
IDN.4.8.4.4_1,
IDN.4.8.4.5_1,
IDN.4.8.4.6_1,
IDN.4.8.4.7_1,
IDN.4.8.4.8_1,
IDN.4.8.4.9_1,
IDN.4.8.5.1_1,
IDN.4.8.5.2_1,
IDN.4.8.5.3_1,
IDN.4.8.5.4_1,
IDN.4.8.5.5_1,
IDN.4.8.5.6_1,
IDN.4.8.5.7_1,
