kelurahan_id,poi_reach_cbd_weighted
IDN.9.15.10.1_1,119.0
IDN.9.15.10.2_1,
IDN.9.15.10.3_1,
IDN.9.15.10.4_1,
IDN.9.15.10.5_1,
IDN.9.15.11.1_1,
IDN.9.15.11.2_1,
IDN.9.15.11.3_1,
IDN.9.15.11.4_1,
IDN.9.15.12.1_1,
IDN.9.15.12.2_1,
IDN.9.15.12.3_1,101.0
IDN.9.15.12.4_1,89.0
IDN.9.15.5.5_1,46.0
IDN.9.15.5.6_1,77.0
IDN.9.15.6.1_1,
IDN.9.15.6.2_1,
IDN.9.15.6.3_1,
IDN.9.15.6.4_1,
IDN.9.15.6.5_1,
IDN.9.15.6.6_1,
IDN.9.15.7.1_1,
IDN.9.15.7.2_1,
IDN.9.15.7.3_1,
IDN.9.15.7.4_1,
IDN.9.15.7.5_1,
IDN.9.15.8.1_1,31.0
IDN.9.15.8.2_1,54.0
IDN.9.15.8.3_1,92.0
IDN.9.15.8.4_1,115.0
IDN.9.15.9.1_1,
IDN.9.15.9.2_1,
IDN.9.15.9.3_1,
IDN.9.15.9.4_1,
IDN.9.16.1.10_1,
IDN.9.16.1.11_1,
IDN.9.16.1.12_1,
IDN.9.16.1.13_1,
IDN.9.16.1.14_1,
IDN.9.16.1.15_1,
IDN.9.16.1.16_1,
IDN.9.16.1.1_1,
IDN.9.16.1.2_1,
IDN.9.16.1.3_1,
IDN.9.16.1.4_1,
IDN.9.16.1.5_1,
IDN.9.16.1.6_1,
IDN.9.16.1.7_1,
IDN.9.16.1.8_1,
IDN.9.16.1.9_1,
