kelurahan_id,poi_reach_cbd_weighted
IDN.4.7.4.10_1,
IDN.4.7.4.11_1,
IDN.4.7.4.2_1,
IDN.4.7.4.3_1,
IDN.4.7.4.4_1,
IDN.4.7.4.5_1,
IDN.4.7.4.6_1,
IDN.4.7.4.7_1,
IDN.4.7.4.8_1,
IDN.4.7.4.9_1,
IDN.4.7.5.1_1,108.5
IDN.4.7.5.2_1,85.0
IDN.4.7.5.3_1,76.0
IDN.4.7.5.4_1,
IDN.4.7.5.5_1,79.0
IDN.4.7.5.6_1,91.5
IDN.4.7.5.7_1,119.0
IDN.4.7.6.1_1,
IDN.4.7.6.2_1,113.0
IDN.4.7.6.3_1,48.0
IDN.4.7.6.4_1,44.0
IDN.4.7.6.5_1,75.0
IDN.4.7.6.6_1,74.0
IDN.4.7.6.7_1,68.0
IDN.4.7.6.8_1,96.0
IDN.4.7.6.9_1,54.0
IDN.4.7.7.1_1,
IDN.4.7.7.2_1,
IDN.4.7.7.3_1,87.0
IDN.4.7.7.4_1,104.0
IDN.4.7.7.5_1,
IDN.4.7.7.6_1,
IDN.7.1.1.1_1,117.0
IDN.7.1.1.2_1,106.0
IDN.7.1.1.3_1,
IDN.7.1.1.4_1,74.0
IDN.7.1.1.5_1,107.0
IDN.7.1.1.6_1,
IDN.7.1.2.1_1,113.0
IDN.7.1.2.2_1,
IDN.7.1.2.3_1,
IDN.7.1.2.4_1,110.47058823529412
IDN.7.1.2.5_1,115.0
IDN.7.1.2.6_1,100.58823529411765
IDN.7.1.2.7_1,
IDN.7.1.3.1_1,
IDN.7.1.3.2_1,
IDN.7.1.3.3_1,
IDN.7.1.3.4_1,
IDN.7.1.3.5_1,
