kelurahan_id,poi_reach_cbd_weighted
IDN.7.4.1.4_1,99.0
IDN.7.4.1.5_1,114.0
IDN.7.4.1.6_1,86.0
IDN.7.4.1.7_1,
IDN.7.4.2.1_1,
IDN.7.4.2.2_1,
IDN.7.4.2.3_1,
IDN.7.4.2.4_1,
IDN.7.4.2.5_1,
IDN.7.4.2.6_1,
IDN.7.4.2.7_1,
IDN.7.4.2.8_1,
IDN.7.4.3.1_1,
IDN.7.4.3.2_1,
IDN.7.4.3.3_1,
IDN.7.4.3.4_1,
IDN.7.4.3.5_1,
IDN.7.4.4.1_1,82.0
IDN.7.4.4.2_1,52.0
IDN.7.4.4.3_1,53.0
IDN.7.4.4.4_1,68.0
IDN.7.4.4.5_1,94.0
IDN.7.4.4.6_1,98.0
IDN.7.4.4.7_1,63.0
IDN.7.4.5.1_1,99.5
IDN.7.4.5.2_1,98.18518518518519
IDN.7.4.5.3_1,102.0
IDN.7.4.5.4_1,110.8
IDN.7.4.5.5_1,111.0
IDN.7.4.5.6_1,79.0
IDN.7.4.5.7_1,100.8
IDN.7.4.5.8_1,105.8
IDN.7.4.6.1_1,92.5
IDN.7.4.6.2_1,113.0
IDN.7.4.6.3_1,105.6
IDN.7.4.6.4_1,116.0
IDN.7.4.6.5_1,
IDN.7.4.6.6_1,
IDN.7.4.6.7_1,
IDN.7.4.7.1_1,
IDN.7.4.7.2_1,
IDN.7.4.7.3_1,
IDN.7.4.7.4_1,
IDN.7.4.7.5_1,
IDN.7.4.8.1_1,95.88888888888889
IDN.7.4.8.2_1,83.66666666666667
IDN.7.4.8.3_1,90.51851851851852
IDN.7.4.8.4_1,103.0
IDN.7.4.8.5_1,102.4
IDN.7.4.8.6_1,109.62962962962963
