kelurahan_id,poi_reach_cbd_weighted
IDN.4.3.1.1_1,
IDN.4.3.1.2_1,
IDN.4.3.1.3_1,
IDN.4.3.1.4_1,
IDN.4.3.1.5_1,
IDN.4.3.1.6_1,
IDN.4.3.1.7_1,
IDN.4.3.2.1_1,
IDN.4.3.2.2_1,
IDN.4.3.2.3_1,
IDN.4.3.2.4_1,
IDN.4.3.2.5_1,
IDN.4.3.3.1_1,
IDN.4.3.3.2_1,120.0
IDN.4.3.3.3_1,100.0
IDN.4.3.3.4_1,
IDN.4.3.3.5_1,66.0
IDN.4.3.3.6_1,
IDN.4.3.4.1_1,
IDN.4.3.4.2_1,
IDN.4.3.4.3_1,
IDN.4.3.4.4_1,
IDN.4.3.4.5_1,
IDN.4.3.4.6_1,
IDN.4.3.4.7_1,
IDN.4.3.4.8_1,
IDN.4.3.5.10_1,
IDN.4.3.5.1_1,
IDN.4.3.5.2_1,
IDN.4.3.5.3_1,
IDN.4.3.5.4_1,
IDN.4.3.5.5_1,
IDN.4.3.5.6_1,
IDN.4.3.5.7_1,
IDN.4.3.5.8_1,
IDN.4.3.5.9_1,
IDN.4.3.6.1_1,
IDN.4.3.6.2_1,
IDN.4.3.6.3_1,
IDN.4.3.6.4_1,
IDN.4.3.6.5_1,
IDN.4.3.6.6_1,
IDN.4.3.7.1_1,
IDN.4.3.7.2_1,
IDN.4.3.7.3_1,
IDN.4.3.7.4_1,
IDN.4.3.7.5_1,
IDN.4.3.7.6_1,
IDN.4.3.7.7_1,
IDN.4.3.8.1_1,105.0
