kelurahan_id,poi_reach_cbd_weighted
IDN.9.4.1.1_1,
IDN.9.4.1.2_1,112.0
IDN.9.4.1.3_1,
IDN.9.4.1.4_1,
IDN.9.4.1.5_1,
IDN.9.4.1.6_1,
IDN.9.4.1.7_1,
IDN.9.4.1.8_1,
IDN.9.4.1.9_1,
IDN.9.4.2.1_1,
IDN.9.4.2.2_1,
IDN.9.4.2.3_1,
IDN.9.4.2.4_1,
IDN.9.4.2.5_1,
IDN.9.4.2.6_1,
IDN.9.4.3.1_1,
IDN.9.4.3.2_1,
IDN.9.4.3.3_1,
IDN.9.4.3.4_1,
IDN.9.4.3.5_1,
IDN.9.4.3.6_1,
IDN.9.4.3.7_1,
IDN.9.4.3.8_1,
IDN.9.4.4.1_1,
IDN.9.4.4.2_1,
IDN.9.4.4.3_1,
IDN.9.4.4.4_1,
IDN.9.4.4.5_1,
IDN.9.4.4.6_1,
IDN.9.4.4.7_1,
IDN.9.4.5.1_1,89.0
IDN.9.4.5.2_1,
IDN.9.4.5.3_1,
IDN.9.4.5.4_1,
IDN.9.4.5.5_1,
IDN.9.4.5.6_1,
IDN.9.4.5.7_1,
IDN.9.4.6.10_1,
IDN.9.4.6.11_1,
IDN.9.4.6.1_1,
IDN.9.4.6.2_1,
IDN.9.4.6.3_1,105.0
IDN.9.4.6.4_1,71.0
IDN.9.4.6.5_1,
IDN.9.4.6.6_1,96.0
IDN.9.4.6.7_1,
IDN.9.4.6.8_1,97.0
IDN.9.4.6.9_1,98.0
IDN.9.4.7.1_1,
IDN.9.4.7.2_1,
