kelurahan_id,area_km2,road_length_km,road_density_km_per_km2,pct_primary_secondary,pct_residential_tertiary,pct_footway_pedestrian,avg_road_class_score,network_connectivity,n_road_segments,n_intersections
IDN.4.3.13.6_1,0.7228,14.1729,19.6096,16.38,80.25,3.37,2.6875,33.21,126,24
IDN.4.3.13.7_1,1.3238,37.771,28.533,10.54,87.86,1.61,2.3898,53.63,312,71
IDN.4.3.13.8_1,2.6388,65.4121,24.7885,21.73,77.23,1.04,2.6644,37.52,687,99
IDN.4.8.1.1_1,2.1222,23.9691,11.2946,32.08,67.92,0.0,2.9285,10.37,174,22
IDN.4.8.1.2_1,3.9801,27.9239,7.0159,7.39,91.6,1.02,2.2349,12.06,236,48
IDN.4.8.1.3_1,5.0852,23.511,4.6234,6.68,93.05,0.27,2.3732,3.54,160,18
IDN.4.8.1.4_1,4.1529,72.8858,17.5508,1.93,98.07,0.0,2.0387,21.91,686,91
IDN.4.8.1.5_1,4.2325,19.856,4.6913,9.15,90.85,0.0,2.4582,1.18,111,5
IDN.4.8.1.6_1,2.7245,10.3656,3.8045,15.95,83.85,0.2,2.3473,1.47,77,4
IDN.4.8.1.7_1,3.3379,11.9514,3.5806,11.2,88.8,0.0,2.5182,2.1,102,7
IDN.4.8.1.8_1,2.6232,31.331,11.9439,13.7,85.09,1.2,2.3902,9.53,203,25
IDN.4.8.1.9_1,3.7767,32.9123,8.7145,18.87,81.13,0.0,2.5112,6.35,258,24
IDN.4.8.2.1_1,2.2566,16.5167,7.3194,3.73,93.18,3.09,2.2958,3.99,139,9
IDN.4.8.2.2_1,3.3076,27.3083,8.2563,7.84,92.16,0.0,2.2055,7.56,222,25
IDN.4.8.2.3_1,3.6511,17.3921,4.7636,15.16,75.02,9.82,2.2049,2.74,114,10
IDN.4.8.2.4_1,4.5036,26.7738,5.945,8.38,89.57,2.05,2.4225,7.77,203,35
IDN.4.8.2.5_1,2.6728,19.0691,7.1345,32.13,66.8,1.07,3.002,4.86,132,13
IDN.4.8.2.6_1,2.1576,46.5293,21.5657,11.27,88.56,0.17,2.2487,29.2,390,63
IDN.4.8.2.7_1,3.7181,37.3365,10.0417,2.0,95.53,2.47,2.1811,12.64,334,47
IDN.4.8.2.8_1,2.0603,33.723,16.3684,11.83,86.79,1.38,2.4049,25.24,336,52
IDN.4.8.2.9_1,2.5655,41.5228,16.1848,6.24,93.16,0.6,2.3603,26.89,443,69
IDN.4.8.2.10_1,4.1562,33.7064,8.1099,14.83,79.58,5.59,2.453,9.38,272,39
IDN.4.8.2.11_1,3.4759,59.6541,17.1624,5.84,93.78,0.38,2.1869,23.3,549,81
IDN.4.8.2.12_1,2.0764,13.5541,6.5276,12.23,87.4,0.38,2.3957,2.41,116,5
IDN.4.8.2.13_1,5.5736,41.0191,7.3596,24.13,73.88,1.99,2.677,4.66,257,26
IDN.4.8.2.14_1,3.0059,29.7539,9.8986,21.15,77.42,1.43,2.5548,8.98,238,27
IDN.4.8.3.1_1,3.4439,58.4889,16.9834,2.46,97.02,0.52,2.1529,22.65,568,78
IDN.4.8.3.2_1,4.9965,67.0628,13.4219,3.75,91.72,4.53,2.1482,15.01,551,75
IDN.4.8.3.3_1,5.4045,30.0454,5.5593,0.0,94.69,5.31,2.0537,4.81,170,26
IDN.4.8.3.4_1,3.9556,20.1463,5.0931,0.0,99.72,0.28,1.9972,2.78,111,11
IDN.4.8.3.5_1,4.5666,87.2131,19.0978,16.96,62.68,20.36,2.213,34.82,774,159
IDN.4.8.3.6_1,7.0045,112.0246,15.9932,4.26,91.44,4.3,2.0782,21.41,980,150
IDN.4.8.4.1_1,4.6348,21.1904,4.572,0.0,99.65,0.35,2.1003,1.51,157,7
IDN.4.8.4.2_1,4.6068,1.5122,0.3283,0.0,100.0,0.0,2.9837,0.0,2,0
IDN.4.8.4.3_1,2.4941,11.2364,4.5052,3.37,96.63,0.0,2.1026,2.0,114,5
IDN.4.8.4.4_1,4.1198,47.6054,11.5554,0.0,99.1,0.9,2.0184,12.38,397,51
IDN.4.8.4.5_1,2.2325,22.4171,10.0412,0.0,99.84,0.16,2.071,10.3,215,23
IDN.4.8.4.6_1,4.1023,34.5031,8.4107,5.86,93.81,0.33,2.1886,9.26,335,38
IDN.4.8.4.7_1,3.8352,30.5945,7.9773,1.3,98.54,0.16,2.0809,5.48,227,21
IDN.4.8.4.8_1,2.9043,21.7794,7.499,0.0,99.86,0.14,2.1347,9.99,204,29
IDN.4.8.4.9_1,2.6094,30.1327,11.5479,0.0,99.57,0.43,2.038,8.81,236,23
IDN.4.8.4.10_1,2.2252,33.9426,15.2535,3.41,96.31,0.28,2.1063,21.12,295,47
IDN.4.8.5.1_1,3.7402,92.4271,24.712,3.7,95.54,0.76,2.1928,34.22,883,128
IDN.4.8.5.2_1,4.2317,45.2218,10.6865,8.58,91.26,0.16,2.2387,12.52,382,53
IDN.4.8.5.3_1,2.6768,33.3731,12.4673,0.24,99.73,0.03,2.1308,22.41,347,60
IDN.4.8.5.4_1,3.9541,43.8159,11.0812,2.74,97.0,0.26,2.1837,13.4,363,53
IDN.4.8.5.5_1,6.4433,71.9313,11.1637,11.17,86.91,1.92,2.3958,13.35,616,86
IDN.4.8.5.6_1,4.6547,35.6092,7.6501,21.61,72.96,5.43,2.5543,7.95,308,37
IDN.4.8.5.7_1,4.5935,107.6303,23.4311,3.17,96.69,0.15,2.1763,27.21,974,125
IDN.4.8.6.1_1,4.3438,0.8916,0.2053,0.0,100.0,0.0,2.0,0.0,6,0
IDN.4.8.6.2_1,3.5021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IDN.4.8.6.3_1,2.1498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IDN.4.8.6.4_1,2.7938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IDN.4.8.6.5_1,2.9322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IDN.4.8.6.6_1,3.7579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IDN.4.8.6.7_1,4.0742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IDN.4.8.6.8_1,3.6808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IDN.4.8.6.9_1,5.2328,7.1311,1.3628,0.0,100.0,0.0,2.0,0.19,34,1
IDN.4.8.7.1_1,1.7899,3.2518,1.8168,0.0,100.0,0.0,2.0,0.56,32,1
IDN.4.8.7.2_1,2.508,36.0332,14.3671,0.0,99.73,0.27,2.0571,18.74,288,47
IDN.4.8.7.3_1,3.0043,28.0125,9.324,0.0,99.32,0.68,2.0792,10.65,230,32
IDN.4.8.7.4_1,2.2625,17.9984,7.9551,8.78,90.26,0.96,2.2539,5.75,148,13
IDN.4.8.7.5_1,3.9576,33.8902,8.5633,0.0,100.0,0.0,2.0608,3.79,211,15
IDN.4.8.7.6_1,1.6827,9.0239,5.3629,8.11,91.89,0.0,2.3078,1.78,79,3
IDN.4.8.7.7_1,2.345,10.9777,4.6813,0.0,100.0,0.0,2.0408,3.41,74,8
IDN.4.8.7.8_1,4.5563,20.7294,4.5496,0.0,100.0,0.0,2.0,2.41,109,11
IDN.4.8.7.9_1,4.678,17.5291,3.7471,0.0,98.05,1.95,1.9805,0.64,83,3
IDN.4.8.7.10_1,2.3626,15.6868,6.6395,0.0,98.13,1.87,2.1373,0.85,104,2
IDN.4.8.8.1_1,2.9507,2.1869,0.7411,100.0,0.0,0.0,5.0,0.0,1,0
IDN.4.8.8.2_1,3.4752,15.1742,4.3664,0.0,100.0,0.0,2.0098,3.74,117,13
IDN.4.8.8.3_1,2.8439,0.5711,0.2008,100.0,0.0,0.0,5.0,0.0,1,0
IDN.4.8.8.4_1,2.4196,13.7798,5.6951,32.64,66.62,0.74,2.972,3.31,82,8
IDN.4.8.8.5_1,2.4031,2.9273,1.2181,0.0,100.0,0.0,2.0,0.0,17,0
IDN.4.8.8.6_1,2.3697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IDN.4.8.8.7_1,3.0057,4.597,1.5294,10.95,89.05,0.0,2.9164,0.0,14,0
IDN.4.8.8.8_1,3.3562,13.1482,3.9176,16.97,83.03,0.0,2.5111,2.09,95,7
IDN.4.8.9.1_1,4.6842,69.4773,14.8323,3.44,92.73,3.84,2.2882,25.83,532,121
IDN.4.8.9.2_1,2.3373,68.7654,29.4203,2.09,97.85,0.06,2.1489,57.76,683,135
IDN.4.8.9.3_1,5.9696,122.8293,20.5758,0.63,97.49,1.89,2.0447,24.29,1058,145
IDN.4.8.9.4_1,3.9002,92.8611,23.8095,12.09,85.69,2.22,2.3441,39.74,819,155
IDN.4.8.9.5_1,4.4617,80.1832,17.9715,8.14,90.12,1.74,2.2897,35.86,797,160
IDN.4.8.9.6_1,3.3673,74.104,22.007,11.56,85.91,2.53,2.423,30.29,599,102
IDN.4.8.10.1_1,4.2963,5.8003,1.3501,25.19,74.81,0.0,2.7592,0.47,36,2
IDN.4.8.10.2_1,6.1756,30.5876,4.953,5.54,94.46,0.0,2.2111,1.94,153,12
IDN.4.8.10.3_1,4.5788,26.7906,5.8511,0.0,100.0,0.0,2.0661,1.53,146,7
IDN.4.8.10.4_1,3.7603,6.6227,1.7612,0.0,100.0,0.0,2.0,0.0,36,0
IDN.4.8.10.5_1,7.8455,12.9867,1.6553,2.19,96.28,1.53,2.0503,0.76,71,6
IDN.4.8.10.6_1,5.9739,9.9377,1.6635,13.36,86.64,0.0,2.5416,0.17,55,1
IDN.4.8.10.7_1,2.8502,15.5918,5.4703,0.0,99.72,0.28,2.173,3.51,142,10
IDN.4.8.11.1_1,2.707,23.5218,8.6892,10.88,88.81,0.31,2.2274,9.24,258,25
IDN.4.8.11.2_1,1.8069,9.341,5.1696,3.34,96.66,0.0,2.0669,6.09,101,11
IDN.4.8.11.3_1,4.6876,43.2105,9.218,12.36,86.79,0.86,2.4108,14.29,407,67
IDN.4.8.11.4_1,1.7994,22.1745,12.3232,5.89,93.59,0.52,2.1828,29.45,318,53
IDN.4.8.11.5_1,2.6784,23.4299,8.7476,26.35,62.25,11.4,2.413,1.87,90,5
IDN.4.8.11.6_1,2.9198,28.7816,9.8574,20.74,79.13,0.12,2.5903,9.93,201,29
IDN.4.8.11.7_1,1.4013,8.8781,6.3356,26.12,70.78,3.09,2.4915,7.14,100,10
IDN.4.8.11.8_1,1.0608,7.4588,7.0311,24.54,74.8,0.66,2.4842,12.25,96,13
IDN.4.8.11.9_1,8.5199,96.2297,11.2947,10.3,77.56,12.14,2.1195,9.51,556,81
IDN.4.8.11.10_1,4.0567,47.2704,11.6525,10.09,72.25,17.66,2.0681,4.68,283,19
IDN.4.8.12.1_1,4.6506,15.7307,3.3825,5.03,94.97,0.0,2.1006,1.51,81,7
IDN.4.8.12.2_1,4.3052,16.9802,3.9441,6.61,84.06,9.33,2.0389,0.93,108,4
IDN.4.8.12.3_1,3.7344,5.6748,1.5196,72.06,19.81,8.13,4.0805,0.54,22,2
IDN.4.8.12.4_1,3.1788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IDN.4.8.12.5_1,2.8244,5.527,1.9569,0.0,95.04,4.96,1.9504,0.71,42,2
IDN.4.8.12.6_1,2.3185,7.9668,3.4362,0.0,100.0,0.0,2.3042,0.86,58,2
IDN.4.8.12.7_1,2.0591,11.0299,5.3566,13.32,86.68,0.0,2.2664,0.97,68,2
IDN.4.8.12.8_1,2.2197,3.0846,1.3897,0.0,100.0,0.0,2.0882,0.9,23,2
IDN.4.8.12.9_1,2.8345,2.1462,0.7571,0.0,100.0,0.0,2.0,0.35,13,1
IDN.4.8.13.1_1,3.6802,15.2064,4.132,22.41,77.59,0.0,2.4481,1.36,97,5
IDN.4.8.13.2_1,2.8451,9.3516,3.2869,0.0,100.0,0.0,2.0,0.0,54,0
IDN.4.8.13.3_1,3.1429,8.4459,2.6873,0.0,100.0,0.0,2.0,0.32,52,1
IDN.4.8.13.4_1,6.8018,16.554,2.4338,12.46,83.96,3.59,2.5253,1.03,99,7
IDN.4.8.13.5_1,7.6232,4.8318,0.6338,32.42,67.58,0.0,2.9726,0.0,27,0
IDN.4.8.13.6_1,8.2049,12.6326,1.5396,12.37,86.79,0.84,2.4312,0.61,68,5
IDN.4.8.13.7_1,3.7923,12.6958,3.3478,4.06,95.94,0.0,2.1219,0.53,59,2
IDN.4.8.13.8_1,1.8971,7.0094,3.6947,0.26,99.47,0.27,2.0025,0.53,49,1
IDN.4.8.13.9_1,4.1303,12.9704,3.1403,21.15,78.85,0.0,2.5381,1.21,71,5
IDN.4.8.13.10_1,3.2452,6.608,2.0362,0.0,100.0,0.0,2.0,0.62,41,2
IDN.4.8.14.1_1,2.1403,29.6737,13.8645,9.1,90.88,0.02,2.2986,11.68,254,25
IDN.4.8.14.2_1,3.4656,31.3131,9.0353,6.89,92.62,0.5,2.2275,8.66,210,30
IDN.4.8.14.3_1,3.1196,14.751,4.7284,6.04,92.28,1.67,2.1646,3.85,101,12
IDN.4.8.14.4_1,2.3283,30.7172,13.193,7.91,91.66,0.43,2.2655,14.17,259,33
IDN.4.8.14.5_1,4.4743,21.0503,4.7047,0.42,99.58,0.0,2.0125,3.58,141,16
IDN.4.8.14.6_1,3.5431,22.5491,6.3643,9.95,87.38,2.67,2.3653,4.8,161,17
IDN.4.8.14.7_1,3.3371,27.002,8.0915,6.1,92.7,1.2,2.2772,5.99,201,20
IDN.4.8.14.8_1,3.1408,53.4305,17.0118,4.89,93.88,1.23,2.2147,17.83,472,56
IDN.4.8.14.9_1,4.1098,28.9424,7.0423,0.0,95.77,4.23,2.0916,8.03,194,33
IDN.4.8.14.10_1,3.5591,30.9612,8.6992,7.79,90.77,1.44,2.2775,10.4,242,37
IDN.4.8.14.11_1,5.9327,39.7929,6.7074,9.43,89.32,1.25,2.3327,6.41,345,38
IDN.4.8.15.1_1,1.5012,7.8357,5.2196,13.01,86.99,0.0,2.3903,5.33,69,8
IDN.4.8.15.2_1,3.6197,7.8304,2.1633,2.32,97.68,0.0,2.0695,1.38,64,5
IDN.4.8.15.3_1,1.6181,9.4932,5.8669,11.54,88.46,0.0,2.3462,8.03,121,13
IDN.4.8.15.4_1,3.459,14.0483,4.0613,9.0,91.0,0.0,2.2221,3.76,131,13
IDN.4.8.15.5_1,5.1865,13.2379,2.5524,26.43,73.57,0.0,2.7928,0.0,67,0
IDN.4.8.15.6_1,5.7382,10.693,1.8635,12.37,87.63,0.0,2.3712,0.52,56,3
IDN.4.8.15.7_1,7.1069,13.6951,1.927,20.23,79.77,0.0,2.6069,0.28,71,2
IDN.4.8.15.8_1,1.648,9.9315,6.0265,18.79,81.21,0.0,2.5239,1.21,75,2
IDN.4.8.15.9_1,2.4263,15.4201,6.3554,13.24,86.59,0.17,2.2632,6.59,135,16
IDN.4.8.15.10_1,3.7422,14.6918,3.926,22.5,76.17,1.33,2.6617,1.6,84,6
IDN.4.8.15.11_1,3.2955,14.7248,4.4682,9.87,90.13,0.0,2.2961,4.86,136,16
IDN.4.8.15.12_1,3.4303,8.0998,2.3612,4.45,95.55,0.0,2.1334,3.21,80,11
IDN.4.8.16.1_1,4.5395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IDN.4.8.16.2_1,2.8361,10.8647,3.8309,0.0,100.0,0.0,2.0,1.41,77,4
IDN.4.8.16.3_1,7.7901,2.2783,0.2925,24.54,75.46,0.0,2.7361,0.0,16,0
IDN.4.8.16.4_1,2.9257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
IDN.4.8.16.5_1,1.8026,4.983,2.7643,0.0,98.48,1.52,2.2761,1.11,37,2
IDN.4.8.16.6_1,3.2575,3.0033,0.922,0.0,100.0,0.0,2.0,0.61,25,2
IDN.4.8.16.7_1,2.5106,0.2873,0.1144,0.0,100.0,0.0,3.0,0.0,1,0
IDN.4.8.16.8_1,2.709,2.1491,0.7933,0.0,97.88,2.12,2.4014,0.37,13,1
IDN.4.8.17.1_1,1.9927,33.0891,16.6054,4.36,84.81,10.83,2.0584,16.56,280,33
IDN.4.8.17.2_1,5.666,93.1614,16.4423,13.99,72.39,13.62,2.199,25.77,693,146
IDN.4.8.17.3_1,5.542,62.9477,11.3584,1.66,83.24,15.1,2.0889,12.09,455,67
IDN.4.8.17.4_1,5.3439,40.8969,7.6531,9.91,83.43,6.66,2.174,9.73,284,52
IDN.4.8.17.5_1,5.0884,44.932,8.8302,9.58,89.71,0.71,2.4672,9.43,308,48
IDN.4.8.17.6_1,1.1655,13.8871,11.9148,0.0,99.83,0.17,2.0339,18.02,118,21
IDN.4.8.17.7_1,6.2507,126.0047,20.1584,15.5,72.65,11.85,2.3279,27.52,906,172
IDN.4.8.17.8_1,2.8157,22.8413,8.1121,1.88,97.84,0.28,2.0831,12.79,212,36
IDN.4.8.17.9_1,5.0739,130.9963,25.8179,3.73,93.85,2.43,2.1803,44.54,1184,226
IDN.4.8.17.10_1,4.5325,92.842,20.4837,11.96,77.69,10.35,2.2676,26.25,712,119
IDN.4.8.17.11_1,7.7615,59.3651,7.6487,26.8,70.33,2.88,2.8794,6.57,343,51
IDN.4.8.18.1_1,3.2154,12.1,3.7631,0.0,99.26,0.74,1.9926,3.11,105,10
IDN.4.8.18.2_1,3.1557,6.1627,1.9528,0.0,100.0,0.0,2.0,0.95,43,3
IDN.4.8.18.3_1,2.0718,11.2444,5.4274,0.0,99.77,0.23,1.9977,2.9,94,6
IDN.4.8.18.4_1,3.8643,14.3524,3.7141,0.0,98.28,1.72,2.2218,1.04,105,4
IDN.4.8.18.5_1,4.7251,13.8092,2.9225,22.73,77.27,0.0,2.7629,0.42,115,2
IDN.4.8.18.6_1,3.1517,18.5032,5.8709,0.0,99.43,0.57,1.9943,4.44,140,14
IDN.4.8.18.7_1,9.557,22.9693,2.4034,14.17,83.72,2.11,2.2622,0.1,141,1
IDN.4.8.18.8_1,6.7116,16.9666,2.5279,12.19,86.76,1.05,2.4753,0.6,134,4
IDN.4.8.18.9_1,3.8981,8.1649,2.0946,9.48,88.55,1.98,2.2646,2.05,78,8
IDN.4.8.18.10_1,1.5944,5.6171,3.523,0.0,100.0,0.0,2.0275,3.76,77,6
IDN.4.8.18.11_1,2.7919,13.8741,4.9695,0.0,100.0,0.0,2.1575,4.3,129,12
IDN.4.8.18.12_1,2.4838,8.8636,3.5686,0.0,100.0,0.0,2.0,0.81,90,2
IDN.4.8.18.13_1,4.4623,12.6785,2.8413,15.97,74.57,9.47,2.3844,0.9,83,4
IDN.4.8.18.14_1,2.6937,12.0978,4.4911,7.04,90.14,2.82,2.1832,5.57,100,15
IDN.4.8.19.1_1,6.731,125.6891,18.6731,5.46,94.33,0.21,2.1876,20.95,1055,141
IDN.4.8.19.2_1,4.1076,90.3127,21.9867,4.81,94.72,0.47,2.1703,23.37,772,96
IDN.4.8.19.3_1,3.3004,22.4197,6.793,0.0,98.15,1.85,2.1443,4.24,123,14
IDN.4.8.19.4_1,4.3425,58.6366,13.5031,3.97,95.38,0.65,2.1983,23.03,471,100
IDN.4.8.19.5_1,4.0601,26.765,6.5921,0.0,99.21,0.79,1.9921,7.88,262,32
IDN.4.8.19.6_1,5.9015,41.4292,7.0201,11.88,87.85,0.27,2.3538,3.05,241,18
IDN.4.8.19.7_1,4.7925,24.9681,5.2098,4.21,95.79,0.0,2.1262,3.76,186,18
IDN.4.8.19.8_1,3.1527,37.3349,11.842,6.61,92.77,0.62,2.1835,13.96,337,44
IDN.4.8.20.1_1,3.6517,63.3136,17.3383,2.74,96.88,0.38,2.167,39.43,713,144
IDN.4.8.20.2_1,1.4285,55.9209,39.1458,0.0,99.95,0.05,2.0436,96.6,531,138
IDN.4.8.20.3_1,3.0945,61.2591,19.7961,0.0,99.86,0.14,2.0923,45.56,717,141
IDN.4.8.20.4_1,2.9474,85.4001,28.9743,3.71,95.95,0.34,2.1511,48.86,834,144
IDN.4.8.20.5_1,4.5956,28.6514,6.2345,0.0,96.65,3.35,2.0954,6.09,272,28
IDN.4.8.20.6_1,2.3174,20.155,8.6973,8.22,90.69,1.09,2.38,11.65,172,27
IDN.4.8.20.7_1,4.7546,88.9997,18.7185,2.22,97.24,0.54,2.0584,37.65,920,179
IDN.4.8.20.8_1,1.7104,27.0141,15.7938,6.23,92.44,1.34,2.152,28.06,288,48
IDN.4.8.20.9_1,6.9193,99.3504,14.3584,1.39,97.73,0.89,2.1326,22.26,909,154
IDN.4.8.21.1_1,3.6864,14.6928,3.9857,0.0,100.0,0.0,2.1066,2.17,120,8
IDN.4.8.21.2_1,4.0339,23.8053,5.9013,0.0,97.77,2.23,2.026,5.7,203,23
IDN.4.8.21.3_1,1.7614,17.9125,10.1695,0.0,99.35,0.65,1.9935,10.22,153,18
IDN.4.8.21.4_1,4.4468,95.8334,21.5512,1.14,97.29,1.57,2.0447,39.13,909,174
IDN.4.8.21.5_1,7.5518,21.5504,2.8537,0.0,99.85,0.15,2.0077,0.79,142,6
IDN.4.8.21.6_1,2.6344,38.1023,14.4633,0.72,98.95,0.33,2.0112,21.64,359,57
IDN.4.8.21.7_1,4.8611,103.3643,21.2637,1.26,98.35,0.39,2.0553,34.77,1145,169
IDN.4.8.21.8_1,3.7694,16.3128,4.3277,0.0,98.8,1.2,1.988,3.18,113,12
IDN.4.8.21.9_1,5.7205,82.1313,14.3574,0.58,97.51,1.91,2.008,20.98,784,120
IDN.4.8.21.10_1,3.7626,39.7105,10.5539,0.0,95.12,4.88,2.072,9.04,334,34
IDN.4.8.21.11_1,5.796,64.7649,11.1741,1.85,96.78,1.37,2.1233,13.98,597,81
IDN.4.8.21.12_1,2.3792,36.2006,15.2155,4.74,95.26,0.0,2.0947,19.75,299,47
IDN.4.8.21.13_1,1.6089,9.6931,6.0248,0.0,100.0,0.0,2.0,2.49,80,4
IDN.4.8.23.1_1,2.8736,43.323,15.0764,3.38,96.52,0.09,2.1884,30.62,518,88
IDN.4.8.23.2_1,2.2715,21.0484,9.2664,0.0,99.69,0.31,2.068,9.25,199,21
IDN.4.8.23.3_1,1.7406,10.4549,6.0066,0.0,100.0,0.0,2.0034,12.06,143,21
IDN.4.8.23.4_1,2.8818,23.7389,8.2376,0.0,99.79,0.21,1.9979,16.31,238,47
