kelurahan_id,area_km2,road_length_km,road_density_km_per_km2,pct_primary_secondary,pct_residential_tertiary,pct_footway_pedestrian,avg_road_class_score,network_connectivity,n_road_segments,n_intersections
IDN.9.16.2.4_1,1.3663,19.2276,14.0728,0.0,85.17,14.83,1.9044,18.3,228,25
IDN.9.16.2.5_1,1.5602,19.5097,12.5046,0.55,92.98,6.48,2.0522,23.07,183,36
IDN.9.16.2.6_1,0.9744,17.1999,17.6514,12.02,78.98,9.0,2.338,42.08,193,41
IDN.9.16.2.7_1,2.08,20.1679,9.6961,0.0,100.0,0.0,2.0641,7.21,136,15
IDN.9.16.2.8_1,1.4685,21.9547,14.9502,23.21,73.05,3.74,2.6842,17.7,195,26
IDN.9.16.2.9_1,4.3818,39.8424,9.0928,0.93,92.12,6.95,2.0749,8.67,246,38
IDN.9.16.2.10_1,0.6076,14.7834,24.3309,8.7,90.37,0.93,2.1956,44.44,131,27
IDN.9.16.2.11_1,1.7411,21.6122,12.4133,8.02,90.84,1.14,2.2292,16.08,207,28
IDN.9.16.2.12_1,5.4547,56.1449,10.2929,0.0,95.39,4.61,2.055,17.6,551,96
IDN.9.16.2.13_1,1.1055,15.9377,14.417,7.34,86.87,5.8,2.1621,21.71,169,24
IDN.9.16.2.14_1,2.711,27.3387,10.0842,8.41,87.45,4.14,2.1269,11.07,269,30
IDN.9.16.2.15_1,1.9307,7.114,3.6847,0.0,100.0,0.0,2.0,0.52,50,1
IDN.9.16.2.16_1,1.6573,25.1219,15.1585,2.58,90.55,6.87,2.0586,27.76,266,46
IDN.9.16.3.1_1,1.138,18.0498,15.8607,16.81,71.88,11.31,2.6093,36.91,164,42
IDN.9.16.3.2_1,0.3485,6.4748,18.5767,11.83,75.4,12.77,2.3746,31.56,77,11
IDN.9.16.3.3_1,0.4412,11.303,25.6182,6.03,58.89,35.09,1.8983,52.13,167,23
IDN.9.16.3.4_1,0.6915,12.1414,17.5584,22.41,65.02,12.57,2.4816,28.92,134,20
IDN.9.16.3.5_1,0.3421,6.2534,18.2818,17.11,73.93,8.95,2.448,35.08,78,12
IDN.9.16.3.6_1,0.489,8.8351,18.0667,16.97,57.93,25.1,2.2902,24.54,106,12
IDN.9.16.3.7_1,0.7017,12.2102,17.4012,8.99,66.92,24.09,2.1824,25.65,107,18
IDN.9.16.3.8_1,1.6506,25.015,15.1554,10.34,26.37,63.29,1.6978,27.87,302,46
IDN.9.16.3.9_1,0.3362,9.1474,27.209,9.36,43.66,46.98,1.8654,62.46,115,21
IDN.9.16.3.10_1,0.5307,15.4026,29.0235,9.16,65.4,25.44,2.0495,58.41,176,31
IDN.9.16.3.11_1,1.1416,20.573,18.0209,6.38,78.34,15.28,2.1895,26.28,189,30
IDN.9.16.4.1_1,2.6448,53.9954,20.416,14.88,81.83,3.29,2.4784,34.03,435,90
IDN.9.16.4.2_1,4.6806,74.9267,16.0078,15.35,84.25,0.4,2.4613,24.78,620,116
IDN.9.16.4.3_1,0.9823,16.2912,16.5845,0.16,98.77,1.07,1.994,30.54,160,30
IDN.9.16.4.4_1,1.127,17.9871,15.9601,17.47,79.64,2.9,2.495,21.3,183,24
IDN.9.16.4.5_1,0.6159,15.1224,24.5523,17.84,56.74,25.42,2.3145,56.83,163,35
IDN.9.16.4.6_1,0.5027,7.6857,15.2902,13.06,83.86,3.08,2.361,17.9,78,9
IDN.9.16.5.1_1,1.8381,34.1453,18.5763,18.54,80.12,1.34,2.603,36.99,366,68
IDN.9.16.5.2_1,1.9752,36.5438,18.5014,18.54,70.98,10.47,2.4503,28.86,412,57
IDN.9.16.5.3_1,2.4041,25.0073,10.4018,9.84,88.71,1.44,2.2922,17.05,260,41
IDN.9.16.5.4_1,3.3301,46.5479,13.9778,4.44,92.44,3.11,2.1309,20.72,472,69
IDN.9.16.5.5_1,1.7338,39.8426,22.9802,0.0,98.76,1.24,2.0849,50.18,421,87
IDN.9.16.5.6_1,1.9397,34.4489,17.76,7.79,91.02,1.18,2.1893,27.84,346,54
IDN.9.16.5.7_1,3.5359,54.3166,15.3617,11.9,85.1,3.0,2.4235,19.51,563,69
IDN.9.16.5.8_1,1.8557,44.7662,24.1239,14.66,81.76,3.58,2.4114,38.26,478,71
IDN.9.16.6.1_1,3.0636,64.5946,21.0846,18.44,79.0,2.57,2.5414,29.05,556,89
IDN.9.16.6.2_1,2.4724,29.1102,11.7741,10.2,87.57,2.23,2.318,15.77,286,39
IDN.9.16.6.3_1,1.1465,22.8443,19.9254,2.61,87.62,9.77,1.9936,28.78,231,33
IDN.9.16.6.4_1,2.2084,45.0637,20.4058,25.63,72.35,2.02,2.7599,31.24,391,69
IDN.9.16.6.5_1,0.766,18.3187,23.9146,20.65,72.41,6.94,2.6482,23.5,153,18
IDN.9.16.6.6_1,1.4756,36.4256,24.6852,0.44,99.4,0.16,2.0728,44.73,384,66
IDN.9.16.6.7_1,1.9969,44.5186,22.2943,0.0,97.85,2.15,2.0503,42.07,498,84
IDN.9.16.6.8_1,3.3357,69.1153,20.7197,0.0,99.6,0.4,2.011,49.46,790,165
IDN.9.16.6.9_1,1.4821,28.6751,19.348,0.02,93.64,6.35,1.937,35.09,333,52
IDN.9.16.6.10_1,1.7362,34.8738,20.0866,3.31,94.03,2.66,2.0397,25.92,363,45
IDN.9.16.6.11_1,1.2281,23.0397,18.7606,19.66,69.14,11.2,2.506,19.54,181,24
